Score,Title,Link
100.0,How may I help you?,https://www.sciencedirect.com/science/article/pii/S016763939700040X
100.0,FRAGSTATS help,https://www.researchgate.net/profile/Samuel-Cushman-2/publication/259011515_FRAGSTATS_Spatial_pattern_analysis_program_for_categorical_maps/links/564217ea08aebaaea1f8b8dd/FRAGSTATS-Spatial-pattern-analysis-program-for-categorical-maps.pdf
100.0,The HELP system,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2580236/
100.0,Help wanted,http://www.edesdeproject.eu/images/download/Eurohealth-Vol17-No-2-3-Web.pdf#page=6
200.0,Help seeking and help design in interactive learning environments,https://journals.sagepub.com/doi/abs/10.3102/00346543073003277
100.0,Why we help,https://www.jstor.org/stable/26015995
200.0,"I help you, and you help me",https://journals.sagepub.com/doi/abs/10.1177/0145721705283247
100.0,How Data Can Help.,https://eric.ed.gov/?id=EJ634850
100.0,Help-seeking: A review of the literature,https://search.proquest.com/openview/67bcdd654b9a3faae8fa5236d61777f8/1?pq-origsite=gscholar&cbl=1821511
100.0,Beyond help,https://books.google.com/books?hl=en&lr=&id=AiMqEAAAQBAJ&oi=fnd&pg=PA289&dq=+help&ots=lm-jCYH8CI&sig=09ZqUb7gt6mS4MLNv3NlFonBN4Y
